game_id,away_starter,home_starter,away_sp_era_actual,away_sp_fip_actual,away_sp_war_actual,away_sp_whip_actual,away_sp_gs,home_sp_era_actual,home_sp_fip_actual,home_sp_war_actual,home_sp_whip_actual,home_sp_gs
20170822OBSK0,보우덴,박종훈,4.64,6.35,1.61,1.47,17.0,4.1,5.44,3.72,1.36,28.0
20170822HHKT0,오간도,피어밴드,3.93,4.55,2.65,1.32,19.0,3.04,4.37,4.92,1.15,26.0
20170822LTHT0,린드블럼,양현종,3.72,4.08,2.45,1.16,12.0,3.44,3.93,5.45,1.31,31.0
20170822SSWO0,페트릭,브리검,6.18,5.5,1.24,1.69,24.0,4.38,4.75,3.23,1.33,24.0
20170823NCLG0,맨쉽,임찬규,3.67,4.14,3.37,1.29,21.0,4.63,4.78,2.53,1.43,26.0
20170823OBSK0,장원준,다이아몬드,3.14,4.38,5.65,1.24,29.0,4.42,5.1,3.25,1.47,24.0
20170823HHKT0,비야누에바,류희운,4.18,4.74,2.62,1.17,20.0,7.67,7.58,-0.4,1.88,14.0
20170823LTHT0,레일리,헥터,3.8,4.34,5.55,1.3,30.0,3.48,4.35,6.45,1.32,30.0
20170823SSWO0,우규민,김성민,5.21,4.94,1.0,1.38,25.0,4.74,5.17,1.39,1.59,15.0
20170824KTNC0,로치,해커,4.69,5.38,2.35,1.58,28.0,3.42,4.56,5.52,1.17,26.0
20170824WOOB0,밴헤켄,함덕주,3.77,3.8,3.6,1.32,24.0,3.67,3.88,3.46,1.4,24.0
20170824LGLT0,차우찬,송승준,3.43,4.12,5.1,1.19,28.0,4.21,4.84,3.45,1.33,22.0
20170824SKSS0,켈리,정인욱,3.6,3.6,5.35,1.31,30.0,9.84,7.19,-0.18,1.88,7.0
20170825HTHH0,팻딘,안영명,4.14,4.61,4.36,1.42,29.0,5.75,5.16,0.46,1.72,16.0
20170825KTNC0,정성곤,장현식,8.11,6.1,-0.58,1.78,20.0,5.29,5.21,1.61,1.53,22.0
20170825WOOB0,최원태,니퍼트,4.46,4.57,3.65,1.31,25.0,4.06,4.79,4.07,1.4,30.0
20170825LGLT0,소사,박세웅,3.88,3.53,4.8,1.22,29.0,3.68,5.13,5.72,1.32,28.0
20170825SKSS0,문승원,윤성환,5.33,6.03,1.95,1.51,29.0,4.28,4.77,4.8,1.25,28.0
20170826HTNC0,임기준,구창모,3.27,5.5,0.68,1.82,4.0,5.32,4.99,1.06,1.63,25.0
20170826LGOB0,류제국,유희관,5.35,4.82,1.27,1.48,25.0,4.53,4.9,3.31,1.43,29.0
20170826HHSK0,윤규진,백인식,5.22,5.4,1.93,1.53,18.0,,,,,
20170826WOLT0,하영민,김원중,4.76,6.3,0.65,1.74,2.0,5.7,5.53,1.72,1.73,24.0
20170826KTSS0,심재민,황수범,5.18,5.02,0.06,1.57,2.0,8.04,6.87,-0.31,2.04,7.0
20170827HTNC0,양현종,이재학,3.44,3.93,5.45,1.31,31.0,5.67,5.36,0.7,1.54,23.0
20170827HHSK0,배영수,박종훈,5.06,5.12,1.96,1.44,25.0,4.1,5.44,3.72,1.36,28.0
20170827WOLT0,브리검,린드블럼,4.38,4.75,3.23,1.33,24.0,3.72,4.08,2.45,1.16,12.0
20170827KTSS0,피어밴드,페트릭,3.04,4.37,4.92,1.15,26.0,6.18,5.5,1.24,1.69,24.0
20170829LGHH0,임찬규,오간도,4.63,4.78,2.53,1.43,26.0,3.93,4.55,2.65,1.32,19.0
20170829LTOB0,레일리,장원준,3.8,4.34,5.55,1.3,30.0,3.14,4.38,5.65,1.24,29.0
20170829HTSS0,헥터,우규민,3.48,4.35,6.45,1.32,30.0,5.21,4.94,1.0,1.38,25.0
20170829NCKT0,맨쉽,고영표,3.67,4.14,3.37,1.29,21.0,5.08,3.75,2.58,1.31,24.0
20170829SKWO0,다이아몬드,밴헤켄,4.42,5.1,3.25,1.47,24.0,3.77,3.8,3.6,1.32,24.0
20170830LGHH0,차우찬,김재영,3.43,4.12,5.1,1.19,28.0,4.54,5.09,1.01,1.41,15.0
20170830LTOB0,송승준,함덕주,4.21,4.84,3.45,1.33,22.0,3.67,3.88,3.46,1.4,24.0
20170830HTSS0,심동섭,정인욱,5.68,4.19,0.46,1.68,2.0,9.84,7.19,-0.18,1.88,7.0
20170830NCKT0,해커,류희운,3.42,4.56,5.52,1.17,26.0,7.67,7.58,-0.4,1.88,14.0
20170830SKWO0,켈리,김성민,3.6,3.6,5.35,1.31,30.0,4.74,5.17,1.39,1.59,15.0
20170831KTHH0,로치,비야누에바,4.69,5.38,2.35,1.58,28.0,4.18,4.74,2.62,1.17,20.0
20170831WOLG0,최원태,소사,4.46,4.57,3.65,1.31,25.0,3.88,3.53,4.8,1.22,29.0
20170831SSSK0,윤성환,문승원,4.28,4.77,4.8,1.25,28.0,5.33,6.03,1.95,1.51,29.0
