game_id,away_starter,home_starter,season,home_team,away_team,away_sp_era_actual,away_sp_fip_actual,away_sp_war_actual,away_sp_whip_actual,away_sp_gs
20010608OBHH0,박보현,ID_99737,2001,한화,두산,5.22,5.42,0.28,1.24,5.0
20010608SSSK0,노장진,ID_91848,2001,SSG,삼성,4.62,5.69,1.62,1.74,15.0
20010608LTLG0,손민한,ID_97126,2001,LG,롯데,4.21,4.49,3.58,1.46,29.0
20010608HTHD0,유동훈,ID_94364,2001,Heroes,KIA,7.5,4.94,-0.53,1.71,9.0
20010608HTHD0,유동훈,ID_94364,2001,Heroes,KIA,0.0,3.54,-0.02,4.5,0.0
20010609OBHH0,박명환,ID_88770,2001,한화,두산,4.29,3.3,1.33,1.38,5.0
20010609SSSK0,배영수,ID_91833,2001,SSG,삼성,3.77,4.63,4.2,1.52,25.0
20010609LTLG0,강민영,ID_71123,2001,LG,롯데,6.32,5.01,0.08,1.66,4.0
20010609HTHD0,김주철,ID_99360,2001,Heroes,KIA,8.65,8.12,-0.38,2.04,7.0
20010609HTHD0,김주철,ID_99360,2001,Heroes,KIA,9.0,9.43,-0.09,1.86,1.0
20010610OBHH0,정진용,ID_90853,2001,한화,두산,5.13,5.03,0.8,1.59,13.0
20010610SSSK0,갈베스,ID_70820,2001,SSG,삼성,2.47,3.55,4.28,1.15,15.0
20010610LTLG0,김영수,ID_70143,2001,LG,롯데,6.27,5.76,-0.08,1.76,14.0
20010610HTHD0,레스,ID_97133,2001,Heroes,KIA,3.82,5.13,1.84,1.57,13.0
20010610HTHD0,레스,ID_97133,2001,Heroes,KIA,4.85,5.37,1.24,1.36,11.0
20010612HDHH0,테일러,ID_89770,2001,한화,Heroes,4.75,5.24,2.14,1.71,27.0
20010612LGSS0,안병원,ID_98451,2001,삼성,LG,7.39,5.74,-0.72,1.85,16.0
20010612HTOB0,최상덕,ID_70840,2001,두산,KIA,4.07,4.4,2.41,1.25,18.0
20010612HTOB0,최상덕,ID_70840,2001,두산,KIA,4.76,4.98,1.28,1.41,11.0
20010612SKLT0,에르난데스,ID_94545,2001,롯데,SSG,3.89,4.08,5.4,1.42,34.0
20010613HTOB0,이원식,ID_71220,2001,두산,KIA,4.59,5.58,0.92,1.35,9.0
20010613HTOB0,이원식,ID_71220,2001,두산,KIA,7.06,6.41,-0.12,1.94,5.0
20010614HDHH1,김수경,ID_99719,2001,한화,Heroes,5.2,5.49,1.06,1.56,18.0
20010614LGSS0,발데스,ID_93728,2001,삼성,LG,4.65,5.31,2.31,1.54,29.0
20010614HTOB0,유동훈,ID_95511,2001,두산,KIA,7.5,4.94,-0.53,1.71,9.0
20010614HTOB0,유동훈,ID_95511,2001,두산,KIA,0.0,3.54,-0.02,4.5,0.0
20010614HDHH2,전준호,ID_71728,2001,한화,Heroes,5.09,4.6,1.79,1.51,25.0
20010615HDLT0,임선동,ID_97571,2001,롯데,Heroes,4.4,3.97,3.05,1.53,24.0
20010615HHSK0,한용덕,ID_70820,2001,SSG,한화,3.56,3.44,3.92,1.27,23.0
20010615SSHT0,임창용,ID_71649,2001,KIA,삼성,3.9,4.52,4.68,1.25,29.0
20010615LGOB0,해리거,ID_94215,2001,두산,LG,4.62,4.48,2.67,1.49,28.0
20010616HDLT0,박장희,ID_97575,2001,롯데,Heroes,5.53,5.57,0.59,1.45,12.0
20010616HHSK0,김백만,ID_91848,2001,SSG,한화,6.07,5.81,0.1,1.56,5.0
20010616SSHT0,갈베스,ID_70655,2001,KIA,삼성,2.47,3.55,4.28,1.15,15.0
20010616LGOB0,이동현,ID_95235,2001,두산,LG,5.37,5.69,0.54,1.76,19.0
20010617HDLT0,테일러,ID_94545,2001,롯데,Heroes,4.75,5.24,2.14,1.71,27.0
20010617HHSK0,송진우,ID_71829,2001,SSG,한화,3.84,4.44,3.6,1.44,24.0
20010617SSHT0,김진웅,ID_94330,2001,KIA,삼성,3.96,3.78,3.79,1.37,14.0
20010617LGOB0,안병원,ID_70840,2001,두산,LG,7.39,5.74,-0.72,1.85,16.0
20010619LTSK0,염종석,ID_91833,2001,SSG,롯데,3.94,4.26,2.19,1.33,16.0
20010619HTLG0,이원식,ID_71123,2001,LG,KIA,4.59,5.58,0.92,1.35,9.0
20010619HTLG0,이원식,ID_71123,2001,LG,KIA,7.06,6.41,-0.12,1.94,5.0
